------+------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File            Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 main_T0S09.s      1 | Directive   | ?? |         |   -1 | 00/FFFF               |                            DSK   smartloader_s09.bin  
    2 |  1 main_T0S09.s      2 | Directive   | ?? |         |   -1 | 00/FFFF               |                            TYP   BIN                  
    3 |  1 main_T0S09.s      3 | Directive   | ?? |         |   -1 | 00/FFFF               |                            mx    %11                  
    4 |  1 main_T0S09.s      4 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
    5 |  1 main_T0S09.s      5 | Equivalence | ?? |         |   -1 | 00/FFFF               | DEBUG                      =     0                    
    6 |  1 main_T0S09.s      6 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
    7 |  1 main_T0S09.s      7 | Directive   | ?? |         |   -1 | 00/FFFF               |                            org   $4000                
    8 |  1 main_T0S09.s      8 | Directive   | ?? |         |   -1 | 00/FFFF               |                            xc                         
    9 |  1 main_T0S09.s      9 | Directive   | ?? |         |   -1 | 00/FFFF               |                            xc                         
   10 |  1 main_T0S09.s     10 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
   11 |  1 main_T0S09.s     11 | Equivalence | ?? |         |   -1 | 00/FFFF               | BELL                       EQU   $FF3A                
   12 |  1 main_T0S09.s     12 | Equivalence | ?? |         |   -1 | 00/FFFF               | PREAD                      EQU   $FB1E                
   13 |  1 main_T0S09.s     13 | Equivalence | ?? |         |   -1 | 00/FFFF               | CLRSCR                     EQU   $FC58                
   14 |  1 main_T0S09.s     14 | Equivalence | ?? |         |   -1 | 00/FFFF               | COUT                       EQU   $FDED                ; Apple II character out func.
   15 |  1 main_T0S09.s     15 | Equivalence | ?? |         |   -1 | 00/FFFF               | COUTD                      EQU   $FDE2                
   16 |  1 main_T0S09.s     16 | Equivalence | ?? |         |   -1 | 00/FFFF               | COUT1                      EQU   $FDF0                
   17 |  1 main_T0S09.s     17 | Equivalence | ?? |         |   -1 | 00/FFFF               | CTR                        EQU   $08                  
   18 |  1 main_T0S09.s     18 | Equivalence | ?? |         |   -1 | 00/FFFF               | PTR                        EQU   $06                  
   19 |  1 main_T0S09.s     19 | Equivalence | ?? |         |   -1 | 00/FFFF               | PRBYTE                     EQU   $FDDA                
   20 |  1 main_T0S09.s     20 | Equivalence | ?? |         |   -1 | 00/FFFF               | WAIT                       EQU   $FCA8                
   21 |  1 main_T0S09.s     21 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
   22 |  1 main_T0S09.s     22 | Equivalence | ?? |         |   -1 | 00/FFFF               | CURPOS                     EQU   $FB5B                
   23 |  1 main_T0S09.s     23 | Equivalence | ?? |         |   -1 | 00/FFFF               | BASCLC                     EQU   $FBC1                ; subroutine to position cursor
   24 |  1 main_T0S09.s     24 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
   25 |  1 main_T0S09.s     25 | Equivalence | ?? |         |   -1 | 00/FFFF               | BASL                       EQU   $28                  
   26 |  1 main_T0S09.s     26 | Equivalence | ?? |         |   -1 | 00/FFFF               | BASH                       EQU   $29                  
   27 |  1 main_T0S09.s     27 | Equivalence | ?? |         |   -1 | 00/FFFF               | CV                         EQU   $25                  ; Cursor position
   28 |  1 main_T0S09.s     28 | Equivalence | ?? |         |   -1 | 00/FFFF               | CH                         EQU   $24                  
   29 |  1 main_T0S09.s     29 | Equivalence | ?? |         |   -1 | 00/FFFF               | RWTS                       EQU   $BD00                
   30 |  1 main_T0S09.s     30 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
   31 |  1 main_T0S09.s     31 | Equivalence | ?? |         |   -1 | 00/FFFF               | printMsg                   EQU   $08D5                
   32 |  1 main_T0S09.s     32 | Equivalence | ?? |         |   -1 | 00/FFFF               | dispPositionCursor         EQU   $08B8                
   33 |  1 main_T0S09.s     33 | Equivalence | ?? |         |   -1 | 00/FFFF               | str2UpperCase              EQU   $08CA                ; shift to uppercase
   34 |  1 main_T0S09.s     34 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
   35 |  1 main_T0S09.s     35 | Empty       | ?? |         |   -1 | 00/FFFF               |                                                       
