------+----------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File                Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1      main_T0S0.s      1 | Comment     | ?? |         |   -1 | 00/FFFF               | ;
    2 |  1      main_T0S0.s      2 | Comment     | ?? |         |   -1 | 00/FFFF               | ;__    ________  ___       Author: Vincent BESSON
    3 |  1      main_T0S0.s      3 | Comment     | ?? |         |   -1 | 00/FFFF               | ; \ \ / /_ _| _ ) _ \      Release: 0.1
    4 |  1      main_T0S0.s      4 | Comment     | ?? |         |   -1 | 00/FFFF               | ;  \ V / | || _ \   /      Date: 2025
    5 |  1      main_T0S0.s      5 | Comment     | ?? |         |   -1 | 00/FFFF               | ;   \_/ |___|___/_|_\      Description: Apple Disk II Smartloader source
    6 |  1      main_T0S0.s      6 | Comment     | ?? |         |   -1 | 00/FFFF               | ;                2025      Licence: Creative Commons
    7 |  1      main_T0S0.s      7 | Comment     | ?? |         |   -1 | 00/FFFF               | ;______________________
    8 |  1      main_T0S0.s      8 | Empty       | ?? |         |   -1 | 00/FFFF               |                                            
    9 |  1      main_T0S0.s      9 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Bootloader of the Smartloader:
   10 |  1      main_T0S0.s     10 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Source Files:
   11 |  1      main_T0S0.s     11 | Comment     | ?? |         |   -1 | 00/FFFF               | ;   main_T0S0.s
   12 |  1      main_T0S0.s     12 | Comment     | ?? |         |   -1 | 00/FFFF               | ;   main_T0S0_disp.s
   13 |  1      main_T0S0.s     13 | Comment     | ?? |         |   -1 | 00/FFFF               | ; the first byte (value $01) is used by the boot rom
   14 |  1      main_T0S0.s     14 | Comment     | ?? |         |   -1 | 00/FFFF               | ; the bootloader starts at $801
   15 |  1      main_T0S0.s     15 | Comment     | ?? |         |   -1 | 00/FFFF               | ; The first step is to build the display
   16 |  1      main_T0S0.s     16 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Then to load the RWTS Dos sector (8-1) to $BF00 going downwards
   17 |  1      main_T0S0.s     17 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Then loads to $4000 the smartloader sector from (0F to 09)
   18 |  1      main_T0S0.s     18 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Becareful this bootloader can not exceed 256 bytes
   19 |  1      main_T0S0.s     19 | Empty       | ?? |         |   -1 | 00/FFFF               |                                            
   20 |  1      main_T0S0.s     20 | Comment     | ?? |         |   -1 | 00/FFFF               | ; When changing the size of smartloader in 4000, need to be changed
   21 |  1      main_T0S0.s     21 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Readnext 
   22 |  1      main_T0S0.s     22 | Comment     | ?? |         |   -1 | 00/FFFF               | ;   cpx     #$0E 
   23 |  1      main_T0S0.s     23 | Comment     | ?? |         |   -1 | 00/FFFF               | ; LOAD_SML_SECT                                          
   24 |  1      main_T0S0.s     24 | Comment     | ?? |         |   -1 | 00/FFFF               | ;                lda     #$45
   25 |  1      main_T0S0.s     25 | Comment     | ?? |         |   -1 | 00/FFFF               | ;                sta     LOADADDR+1
   26 |  1      main_T0S0.s     26 | Comment     | ?? |         |   -1 | 00/FFFF               | ;                ldx     #$0D
   27 |  1      main_T0S0.s     27 | Comment     | ?? |         |   -1 | 00/FFFF               | ;                stx     CURRSECTOR
   28 |  1      main_T0S0.s     28 | Comment     | ?? |         |   -1 | 00/FFFF               | ;                jmp     PREP_CALL
   29 |  1      main_T0S0.s     29 | Comment     | ?? |         |   -1 | 00/FFFF               | ;
   30 |  1      main_T0S0.s     30 | Empty       | ?? |         |   -1 | 00/FFFF               |                                            
   31 |  1      main_T0S0.s     31 | Comment     | ?? |         |   -1 | 00/FFFF               | ; Changelog:
   32 |  1      main_T0S0.s     32 | Comment     | ?? |         |   -1 | 00/FFFF               | ;
   33 |  1      main_T0S0.s     33 | Comment     | ?? |         |   -1 | 00/FFFF               | ; 2025.08.25 v0.37:
   34 |  1      main_T0S0.s     34 | Comment     | ?? |         |   -1 | 00/FFFF               | ; [-] Remove of Prodos image type
   35 |  1      main_T0S0.s     35 | Comment     | ?? |         |   -1 | 00/FFFF               | ; [+] New Bootloader track 0 sector 0
   36 |  1      main_T0S0.s     36 | Comment     | ?? |         |   -1 | 00/FFFF               | ; [+] Fast Dos RWTS to load READ / WRITE
   37 |  1      main_T0S0.s     37 | Comment     | ?? |         |   -1 | 00/FFFF               | ; [+] Code refactoring
   38 |  1      main_T0S0.s     38 | Empty       | ?? |         |   -1 | 00/FFFF               |                                            
   39 |  1      main_T0S0.s     39 | Empty       | ?? |         |   -1 | 00/FFFF               |                                            
   40 |  1      main_T0S0.s     40 | Directive   | ?? |         |   -1 | 00/FFFF               |                     DSK    smartloader_s0.bin
   41 |  1      main_T0S0.s     41 | Directive   | ?? |         |   -1 | 00/FFFF               |                     TYP    BIN             
   42 |  1      main_T0S0.s     42 | Directive   | ?? |         |   -1 | 00/FFFF               |                     MX     %11             
   43 |  1      main_T0S0.s     43 | Empty       | ?? |         |   -1 | 00/FFFF               |                                            
   44 |  1      main_T0S0.s     44 | Directive   | ?? |         |   -1 | 00/FFFF               |                     ORG    $800            
